title,quote,ten_tags
Quotes to Scrape,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,love
Quotes to Scrape,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",inspirational
